index,x_m,y_m,z_m,longitude,latitude,distance_m
0,-602.8675,0,-749.8982,135.4973778,34.6683951,0
1,-612.9012,0,-731.6195,135.4972682,34.6685593,20.829
2,-619.5659,0,-719.4412,135.4971954,34.6686687,34.696
3,-623.8228,0,-708.8213,135.4971489,34.6687641,46.125
4,-627.8601,0,-696.5094,135.4971048,34.6688747,59.067
5,-630.6706,0,-683.7187,135.4970741,34.6689896,72.148
6,-632.4101,0,-672.0079,135.4970551,34.6690948,83.975
7,-633.4171,0,-655.3879,135.4970441,34.6692441,100.606
8,-632.8861,0,-634.0703,135.4970499,34.6694356,121.907
9,-621.7355,0,-487.0172,135.4971717,34.6707566,269.217
10,-617.2039,0,-441.2872,135.4972212,34.6711674,315.12
11,-594.2803,0,-182.8256,135.4974716,34.6734892,574.306
12,-584.2374,0,-70.6267,135.4975813,34.6744971,686.828
13,-578.5248,0,-0.0612,135.4976437,34.675131,757.545
14,-574.2953,0,68.9569,135.4976899,34.675751,826.615
15,-571.0453,0,131.7856,135.4977254,34.6763154,889.458
16,-562.7785,0,323.1438,135.4978157,34.6780344,1080.78
17,-558.7138,0,404.7187,135.4978601,34.6787672,1162.365
18,-553.761,0,529.8863,135.4979142,34.6798916,1287.491
19,-548.6435,0,646.1373,135.4979701,34.6809359,1403.724
20,-544.5238,0,754.184,135.4980151,34.6819065,1511.729
21,-543.8006,0,797.8435,135.498023,34.6822987,1555.345
22,-543.6724,0,839.5215,135.4980244,34.6826731,1596.977
23,-544.4506,0,904.2761,135.4980159,34.6832548,1661.664
24,-545.0548,0,971.7245,135.4980093,34.6838607,1729.04
25,-546.6935,0,1109.8386,135.4979914,34.6851014,1867.009
26,-547.2886,0,1127.4271,135.4979849,34.6852594,1884.588
27,-548.3048,0,1233.9376,135.4979738,34.6862162,1990.984
28,-549.8245,0,1300.6291,135.4979572,34.6868153,2057.618
29,-565.1863,0,1512.2697,135.4977894,34.6887165,2269.578
30,-582.1044,0,1704.1623,135.4976046,34.6904403,2462
31,-587.2677,0,1806.9881,135.4975482,34.691364,2564.84
32,-587.6888,0,1816.9066,135.4975436,34.6914531,2574.756
33,-588.4029,0,1833.4376,135.4975358,34.6916016,2591.284
34,-588.5493,0,1848.1318,135.4975342,34.6917336,2605.963
35,-587.9634,0,1862.2025,135.4975406,34.69186,2620.03
36,-586.5444,0,1878.3216,135.4975561,34.6920048,2636.193
37,-584.4388,0,1893.8729,135.4975791,34.6921445,2651.869
38,-582.0128,0,1908.4001,135.4976056,34.692275,2666.581
39,-574.927,0,1943.1875,135.497683,34.6925875,2702.042
40,-570.432,0,1965.6517,135.4977321,34.6927893,2724.926
41,-567.8961,0,1981.4814,135.4977598,34.6929315,2740.94
42,-566.5503,0,1996.7655,135.4977745,34.6930688,2756.266
43,-566.2574,0,2011.4152,135.4977777,34.6932004,2770.902
44,-566.0651,0,2013.5191,135.4977798,34.6932193,2773.012
45,-566.7792,0,2027.7903,135.497772,34.6933475,2787.285
46,-568.6925,0,2044.1208,135.4977511,34.6934942,2803.709
47,-575.5678,0,2089.7062,135.497676,34.6939037,2849.758
48,-577.2065,0,2103.0311,135.4976581,34.6940234,2863.169
49,-577.8382,0,2115.9664,135.4976512,34.6941396,2876.105
50,-577.2615,0,2126.3971,135.4976575,34.6942333,2886.54
51,-575.5861,0,2136.2043,135.4976758,34.6943214,2896.478
52,-572.7024,0,2145.0765,135.4977073,34.6944011,2905.796
53,-568.7292,0,2153.9709,135.4977507,34.694481,2915.527
54,-563.5659,0,2162.9878,135.4978071,34.694562,2925.905
55,-557.6885,0,2171.0139,135.4978713,34.6946341,2935.841
56,-550.6667,0,2178.361,135.497948,34.6947001,2945.991
57,-542.6288,0,2185.0513,135.4980358,34.6947602,2956.436
58,-532.8606,0,2191.0737,135.4981425,34.6948143,2967.897
59,-522.1952,0,2195.7603,135.498259,34.6948564,2979.531
60,-511.3559,0,2198.9217,135.4983774,34.6948848,2990.807
61,-500.3885,0,2200.8476,135.4984972,34.6949021,3001.927
62,-472.3839,0,2204.9219,135.4988031,34.6949387,3030.188
